"","path","filename","trait","sample_size","ncase","ncontrol","nsnp","id","category","sex","newfile"
"373","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M15676.metal.pos.txt.gz.tab","3-methyl-2-oxovalerate",7779,NA,NA,2545685,383,"Metabolites","Males and females","metabolites__3methyl2oxovalerate.txt.gz"
"509","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32786.metal.pos.txt.gz.tab","X-11469",7779,NA,NA,2545783,519,"Metabolites","Males and females","metabolites__x11469.txt.gz"
"332","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01572.metal.pos.txt.gz.tab","Glycerate",7778,NA,NA,2545821,342,"Metabolites","Males and females","metabolites__glycerate.txt.gz"
"527","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32980.metal.pos.txt.gz.tab","Adrenate (22:4n6)",7778,NA,NA,2545645,537,"Metabolites","Males and females","metabolites__adrenate_224n6.txt.gz"
"717","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36515.metal.pos.txt.gz.tab","X-14588",7777,NA,NA,2545654,727,"Metabolites","Males and females","metabolites__x14588.txt.gz"
"419","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M22116.metal.pos.txt.gz.tab","4-methyl-2-oxopentanoate",7776,NA,NA,2545690,429,"Metabolites","Males and females","metabolites__4methyl2oxopentanoate.txt.gz"
"425","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M22481.metal.pos.txt.gz.tab","X-08988",7776,NA,NA,2545530,435,"Metabolites","Males and females","metabolites__x08988.txt.gz"
"524","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32867.metal.pos.txt.gz.tab","X-11550",7776,NA,NA,2545614,534,"Metabolites","Males and females","metabolites__x11550.txt.gz"
"566","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33447.metal.pos.txt.gz.tab","Palmitoleate (16:1n7)",7776,NA,NA,2545657,576,"Metabolites","Males and females","metabolites__palmitoleate_161n7.txt.gz"
"738","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M37203.metal.pos.txt.gz.tab","4-androsten-3beta,17beta-diol disulfate 2*",7776,NA,NA,2545567,748,"Metabolites","Males and females","metabolites__4androsten3beta17betadiol_disulfate_2.txt.gz"
"614","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33969.metal.pos.txt.gz.tab","Stearidonate (18:4n3)",7775,NA,NA,2545635,624,"Metabolites","Males and females","metabolites__stearidonate_184n3.txt.gz"
"346","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M02132.metal.pos.txt.gz.tab","Citrulline",7773,NA,NA,2545760,356,"Metabolites","Males and females","metabolites__citrulline.txt.gz"
"480","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32578.metal.pos.txt.gz.tab","X-11261",7771,NA,NA,2545582,490,"Metabolites","Males and females","metabolites__x11261.txt.gz"
"613","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33968.metal.pos.txt.gz.tab","5-dodecenoate (12:1n7)",7770,NA,NA,2545535,623,"Metabolites","Males and females","metabolites__5dodecenoate_121n7.txt.gz"
"617","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33973.metal.pos.txt.gz.tab","Epiandrosterone sulfate",7769,NA,NA,2545674,627,"Metabolites","Males and females","metabolites__epiandrosterone_sulfate.txt.gz"
"322","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01359.metal.pos.txt.gz.tab","Oleate (18:1n9)",7768,NA,NA,2545670,332,"Metabolites","Males and females","metabolites__oleate_181n9.txt.gz"
"655","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34527.metal.pos.txt.gz.tab","X-12844",7768,NA,NA,2545671,665,"Metabolites","Males and females","metabolites__x12844.txt.gz"
"608","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33941.metal.pos.txt.gz.tab","Decanoylcarnitine",7766,NA,NA,2545676,618,"Metabolites","Males and females","metabolites__decanoylcarnitine.txt.gz"
"499","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32740.metal.pos.txt.gz.tab","X-11423--O-sulfo-L-tyrosine",7765,NA,NA,2545473,509,"Metabolites","Males and females","metabolites__x11423osulfoltyrosine.txt.gz"
"648","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34453.metal.pos.txt.gz.tab","X-12776",7764,NA,NA,2545673,658,"Metabolites","Males and females","metabolites__x12776.txt.gz"
"387","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M17945.metal.pos.txt.gz.tab","2-hydroxystearate",7763,NA,NA,2545671,397,"Metabolites","Males and females","metabolites__2hydroxystearate.txt.gz"
"534","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33140.metal.pos.txt.gz.tab","X-11795",7763,NA,NA,2545664,544,"Metabolites","Males and females","metabolites__x11795.txt.gz"
"697","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35631.metal.pos.txt.gz.tab","1-palmitoylglycerophosphoethanolamine",7763,NA,NA,2545788,707,"Metabolites","Males and females","metabolites__1palmitoylglycerophosphoethanolamine.txt.gz"
"628","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34283.metal.pos.txt.gz.tab","Asparagine",7761,NA,NA,2545507,638,"Metabolites","Males and females","metabolites__asparagine.txt.gz"
"360","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M12593.metal.pos.txt.gz.tab","X-02973",7759,NA,NA,2545738,370,"Metabolites","Males and females","metabolites__x02973.txt.gz"
"506","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32761.metal.pos.txt.gz.tab","X-11444",7758,NA,NA,2545559,516,"Metabolites","Males and females","metabolites__x11444.txt.gz"
"556","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33389.metal.pos.txt.gz.tab","X-12038",7758,NA,NA,2545686,566,"Metabolites","Males and females","metabolites__x12038.txt.gz"
"708","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36103.metal.pos.txt.gz.tab","P-cresol sulfate",7758,NA,NA,2545765,718,"Metabolites","Males and females","metabolites__pcresol_sulfate.txt.gz"
"464","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32393.metal.pos.txt.gz.tab","Gamma-glutamylvaline",7753,NA,NA,2545824,474,"Metabolites","Males and females","metabolites__gammaglutamylvaline.txt.gz"
"494","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32698.metal.pos.txt.gz.tab","X-11381",7753,NA,NA,2545628,504,"Metabolites","Males and females","metabolites__x11381.txt.gz"
"562","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33422.metal.pos.txt.gz.tab","Gamma-glutamylphenylalanine",7753,NA,NA,2545841,572,"Metabolites","Males and females","metabolites__gammaglutamylphenylalanine.txt.gz"
"568","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33477.metal.pos.txt.gz.tab","Erythronate*",7752,NA,NA,2545588,578,"Metabolites","Males and females","metabolites__erythronate.txt.gz"
"432","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M27256.metal.pos.txt.gz.tab","X-10500",7751,NA,NA,2545598,442,"Metabolites","Males and females","metabolites__x10500.txt.gz"
"370","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M15506.metal.pos.txt.gz.tab","Choline",7750,NA,NA,2545597,380,"Metabolites","Males and females","metabolites__choline.txt.gz"
"696","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35628.metal.pos.txt.gz.tab","1-oleoylglycerophosphoethanolamine",7749,NA,NA,2545691,706,"Metabolites","Males and females","metabolites__1oleoylglycerophosphoethanolamine.txt.gz"
"481","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32586.metal.pos.txt.gz.tab","Bilirubin (E,E)*",7748,NA,NA,2545661,491,"Metabolites","Males and females","metabolites__bilirubin_ee.txt.gz"
"326","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01493.metal.pos.txt.gz.tab","Ornithine",7746,NA,NA,2545669,336,"Metabolites","Males and females","metabolites__ornithine.txt.gz"
"409","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M20675.metal.pos.txt.gz.tab","1,5-anhydroglucitol (1,5-AG)",7746,NA,NA,2545780,419,"Metabolites","Males and females","metabolites__15anhydroglucitol_15ag.txt.gz"
"398","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M18929.metal.pos.txt.gz.tab","X-05907",7734,NA,NA,2545753,408,"Metabolites","Males and females","metabolites__x05907.txt.gz"
"679","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35255.metal.pos.txt.gz.tab","2-stearoylglycerophosphocholine*",7730,NA,NA,2545681,689,"Metabolites","Males and females","metabolites__2stearoylglycerophosphocholine.txt.gz"
"416","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M21630.metal.pos.txt.gz.tab","X-08402",7726,NA,NA,2545599,426,"Metabolites","Males and females","metabolites__x08402.txt.gz"
"330","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01561.metal.pos.txt.gz.tab","Alpha-tocopherol",7725,NA,NA,2545636,340,"Metabolites","Males and females","metabolites__alphatocopherol.txt.gz"
"378","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M15996.metal.pos.txt.gz.tab","Aspartate",7721,NA,NA,2545425,388,"Metabolites","Males and females","metabolites__aspartate.txt.gz"
"334","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01585.metal.pos.txt.gz.tab","N-acetylalanine",7720,NA,NA,2546012,344,"Metabolites","Males and females","metabolites__nacetylalanine.txt.gz"
"573","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33510.metal.pos.txt.gz.tab","X-12095--N1-methyl-3-pyridone-4-carboxamide",7711,NA,NA,2545785,583,"Metabolites","Males and females","metabolites__x12095n1methyl3pyridone4carboxamide.txt.gz"
"433","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M27273.metal.pos.txt.gz.tab","X-10506",7710,NA,NA,2545397,443,"Metabolites","Males and females","metabolites__x10506.txt.gz"
"538","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33165.metal.pos.txt.gz.tab","X-11820",7710,NA,NA,2545735,548,"Metabolites","Males and females","metabolites__x11820.txt.gz"
"671","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35160.metal.pos.txt.gz.tab","Oleoylcarnitine",7708,NA,NA,2545666,681,"Metabolites","Males and females","metabolites__oleoylcarnitine.txt.gz"
"449","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M31555.metal.pos.txt.gz.tab","Pyridoxate",7703,NA,NA,2545397,459,"Metabolites","Males and females","metabolites__pyridoxate.txt.gz"
"424","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M22189.metal.pos.txt.gz.tab","Palmitoylcarnitine",7701,NA,NA,2545659,434,"Metabolites","Males and females","metabolites__palmitoylcarnitine.txt.gz"
"475","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32549.metal.pos.txt.gz.tab","X-02269",7701,NA,NA,2545491,485,"Metabolites","Males and females","metabolites__x02269.txt.gz"
"689","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35439.metal.pos.txt.gz.tab","Glutaroyl carnitine",7701,NA,NA,2545220,699,"Metabolites","Males and females","metabolites__glutaroyl_carnitine.txt.gz"
"516","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32836.metal.pos.txt.gz.tab","HWESASXX*",7700,NA,NA,2545502,526,"Metabolites","Males and females","metabolites__hwesasxx.txt.gz"
"429","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M24074.metal.pos.txt.gz.tab","X-09706",7697,NA,NA,2545584,439,"Metabolites","Males and females","metabolites__x09706.txt.gz"
"677","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35253.metal.pos.txt.gz.tab","2-palmitoylglycerophosphocholine*",7695,NA,NA,2545626,687,"Metabolites","Males and females","metabolites__2palmitoylglycerophosphocholine.txt.gz"
"400","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M19324.metal.pos.txt.gz.tab","1-stearoylglycerophosphoinositol",7694,NA,NA,2545589,410,"Metabolites","Males and females","metabolites__1stearoylglycerophosphoinositol.txt.gz"
"445","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M31453.metal.pos.txt.gz.tab","Cysteine",7692,NA,NA,2545727,455,"Metabolites","Males and females","metabolites__cysteine.txt.gz"
"361","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M12626.metal.pos.txt.gz.tab","X-03003",7689,NA,NA,2545669,371,"Metabolites","Males and females","metabolites__x03003.txt.gz"
"503","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32757.metal.pos.txt.gz.tab","X-11440",7686,NA,NA,2545645,513,"Metabolites","Males and females","metabolites__x11440.txt.gz"
"488","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32644.metal.pos.txt.gz.tab","X-11327",7671,NA,NA,2545642,498,"Metabolites","Males and females","metabolites__x11327.txt.gz"
"606","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33937.metal.pos.txt.gz.tab","Alpha-hydroxyisovalerate",7668,NA,NA,2545440,616,"Metabolites","Males and females","metabolites__alphahydroxyisovalerate.txt.gz"
"989","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/MESA_emphysema","MESA_MetaAnallogemph950Model2.csv.tab","Percent emphysema",7667,NA,NA,2968584,1005,"Risk factor","Males and females","risk_factor__percent_emphysema.txt.gz"
"386","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M17807.metal.pos.txt.gz.tab","X-18601",7663,NA,NA,2545942,396,"Metabolites","Males and females","metabolites__x18601.txt.gz"
"349","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M02730.metal.pos.txt.gz.tab","Gamma-glutamylglutamine",7662,NA,NA,2545682,359,"Metabolites","Males and females","metabolites__gammaglutamylglutamine.txt.gz"
"743","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M38178.metal.pos.txt.gz.tab","Cis-4-decenoyl carnitine",7660,NA,NA,2545651,753,"Metabolites","Males and females","metabolites__cis4decenoyl_carnitine.txt.gz"
"681","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35270.metal.pos.txt.gz.tab","X-13496",7656,NA,NA,2545785,691,"Metabolites","Males and females","metabolites__x13496.txt.gz"
"411","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M21047.metal.pos.txt.gz.tab","3-methyl-2-oxobutyrate",7648,NA,NA,2545692,421,"Metabolites","Males and females","metabolites__3methyl2oxobutyrate.txt.gz"
"426","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M22548.metal.pos.txt.gz.tab","X-09026",7627,NA,NA,2545849,436,"Metabolites","Males and females","metabolites__x09026.txt.gz"
"713","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36300.metal.pos.txt.gz.tab","X-14374",7627,NA,NA,2545862,723,"Metabolites","Males and females","metabolites__x14374.txt.gz"
"401","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M19362.metal.pos.txt.gz.tab","X-06226",7623,NA,NA,2545759,411,"Metabolites","Males and females","metabolites__x06226.txt.gz"
"436","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M27513.metal.pos.txt.gz.tab","Indoleacetate",7618,NA,NA,2545787,446,"Metabolites","Males and females","metabolites__indoleacetate.txt.gz"
"533","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33138.metal.pos.txt.gz.tab","X-11793--oxidized bilirubin*",7611,NA,NA,2545819,543,"Metabolites","Males and females","metabolites__x11793oxidized_bilirubin.txt.gz"
"328","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01508.metal.pos.txt.gz.tab","Pantothenate",7604,NA,NA,2545928,338,"Metabolites","Males and females","metabolites__pantothenate.txt.gz"
"344","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01769.metal.pos.txt.gz.tab","Cortisone",7575,NA,NA,2545383,354,"Metabolites","Males and females","metabolites__cortisone.txt.gz"
"371","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M15630.metal.pos.txt.gz.tab","N-acetylornithine",7574,NA,NA,2545364,381,"Metabolites","Males and females","metabolites__nacetylornithine.txt.gz"
"619","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34040.metal.pos.txt.gz.tab","X-12510--2-aminooctanoic acid",7566,NA,NA,2545484,629,"Metabolites","Males and females","metabolites__x125102aminooctanoic_acid.txt.gz"
"555","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33380.metal.pos.txt.gz.tab","X-12029",7564,NA,NA,2546069,565,"Metabolites","Males and females","metabolites__x12029.txt.gz"
"651","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34481.metal.pos.txt.gz.tab","X-12798",7552,NA,NA,2545601,661,"Metabolites","Males and females","metabolites__x12798.txt.gz"
"337","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01638.metal.pos.txt.gz.tab","Arginine",7528,NA,NA,2545579,347,"Metabolites","Males and females","metabolites__arginine.txt.gz"
"678","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35254.metal.pos.txt.gz.tab","2-oleoylglycerophosphocholine*",7524,NA,NA,2545642,688,"Metabolites","Males and females","metabolites__2oleoylglycerophosphocholine.txt.gz"
"718","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36552.metal.pos.txt.gz.tab","X-14625",7511,NA,NA,2545685,728,"Metabolites","Males and females","metabolites__x14625.txt.gz"
"548","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33228.metal.pos.txt.gz.tab","1-arachidonoylglycerophosphocholine*",7507,NA,NA,2545400,558,"Metabolites","Males and females","metabolites__1arachidonoylglycerophosphocholine.txt.gz"
"323","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01361.metal.pos.txt.gz.tab","Pentadecanoate (15:0)",7502,NA,NA,2545826,333,"Metabolites","Males and females","metabolites__pentadecanoate_150.txt.gz"
"379","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M16634.metal.pos.txt.gz.tab","X-04357",7502,NA,NA,2545854,389,"Metabolites","Males and females","metabolites__x04357.txt.gz"
"357","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M12067.metal.pos.txt.gz.tab","Undecanoate (11:0)",7500,NA,NA,2545844,367,"Metabolites","Males and females","metabolites__undecanoate_110.txt.gz"
"570","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33507.metal.pos.txt.gz.tab","X-12092",7500,NA,NA,2545734,580,"Metabolites","Males and females","metabolites__x12092.txt.gz"
"574","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33515.metal.pos.txt.gz.tab","X-12100--hydroxytryptophan*",7499,NA,NA,2545929,584,"Metabolites","Males and females","metabolites__x12100hydroxytryptophan.txt.gz"
"381","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M16818.metal.pos.txt.gz.tab","X-04495",7490,NA,NA,2545543,391,"Metabolites","Males and females","metabolites__x04495.txt.gz"
"623","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34123.metal.pos.txt.gz.tab","X-12556",7483,NA,NA,2545472,633,"Metabolites","Males and females","metabolites__x12556.txt.gz"
"515","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32814.metal.pos.txt.gz.tab","X-11497",7481,NA,NA,2545579,525,"Metabolites","Males and females","metabolites__x11497.txt.gz"
"362","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M12768.metal.pos.txt.gz.tab","X-03088",7474,NA,NA,2545577,372,"Metabolites","Males and females","metabolites__x03088.txt.gz"
"350","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M02734.metal.pos.txt.gz.tab","Gamma-glutamyltyrosine",7468,NA,NA,2545559,360,"Metabolites","Males and females","metabolites__gammaglutamyltyrosine.txt.gz"
"572","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33509.metal.pos.txt.gz.tab","X-12094",7467,NA,NA,2545632,582,"Metabolites","Males and females","metabolites__x12094.txt.gz"
"733","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M37097.metal.pos.txt.gz.tab","Tryptophan betaine",7439,NA,NA,2545376,743,"Metabolites","Males and females","metabolites__tryptophan_betaine.txt.gz"
"413","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M21127.metal.pos.txt.gz.tab","1-palmitoylglycerol (1-monopalmitin)",7429,NA,NA,2544839,423,"Metabolites","Males and females","metabolites__1palmitoylglycerol_1monopalmitin.txt.gz"
"610","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33957.metal.pos.txt.gz.tab","1-heptadecanoylglycerophosphocholine",7422,NA,NA,2545876,620,"Metabolites","Males and females","metabolites__1heptadecanoylglycerophosphocholine.txt.gz"
"687","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35431.metal.pos.txt.gz.tab","2-methylbutyroylcarnitine",7420,NA,NA,2545908,697,"Metabolites","Males and females","metabolites__2methylbutyroylcarnitine.txt.gz"
"625","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34221.metal.pos.txt.gz.tab","X-12627",7419,NA,NA,2545501,635,"Metabolites","Males and females","metabolites__x12627.txt.gz"
"519","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32847.metal.pos.txt.gz.tab","X-11530",7409,NA,NA,2545760,529,"Metabolites","Males and females","metabolites__x11530.txt.gz"
"630","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34306.metal.pos.txt.gz.tab","X-12696",7409,NA,NA,2545674,640,"Metabolites","Males and females","metabolites__x12696.txt.gz"
"479","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32564.metal.pos.txt.gz.tab","X-11247",7403,NA,NA,2545430,489,"Metabolites","Males and females","metabolites__x11247.txt.gz"
"318","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01303.metal.pos.txt.gz.tab","Malate",7384,NA,NA,2545374,328,"Metabolites","Males and females","metabolites__malate.txt.gz"
"704","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35854.metal.pos.txt.gz.tab","Threitol",7381,NA,NA,2545964,714,"Metabolites","Males and females","metabolites__threitol.txt.gz"
"389","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M18349.metal.pos.txt.gz.tab","Indolelactate",7378,NA,NA,2546166,399,"Metabolites","Males and females","metabolites__indolelactate.txt.gz"
"744","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M38768.metal.pos.txt.gz.tab","15-methylpalmitate (isobar with 2-methylpalmitate)",7371,NA,NA,2545546,754,"Metabolites","Males and females","metabolites__15methylpalmitate_isobar_with_2methylpalmitate.txt.gz"
"644","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34416.metal.pos.txt.gz.tab","1-stearoylglycerophosphoethanolamine",7369,NA,NA,2545759,654,"Metabolites","Males and females","metabolites__1stearoylglycerophosphoethanolamine.txt.gz"
"402","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M19364.metal.pos.txt.gz.tab","X-06246",7358,NA,NA,2545551,412,"Metabolites","Males and females","metabolites__x06246.txt.gz"
"484","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32616.metal.pos.txt.gz.tab","X-11299",7347,NA,NA,2545422,494,"Metabolites","Males and females","metabolites__x11299.txt.gz"
"729","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36808.metal.pos.txt.gz.tab","Dimethylarginine (SDMA + ADMA)",7347,NA,NA,2545585,739,"Metabolites","Males and females","metabolites__dimethylarginine_sdma__adma.txt.gz"
"736","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M37190.metal.pos.txt.gz.tab","5alpha-androstan-3beta,17beta-diol disulfate",7345,NA,NA,2545804,746,"Metabolites","Males and females","metabolites__5alphaandrostan3beta17betadiol_disulfate.txt.gz"
"684","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35327.metal.pos.txt.gz.tab","X-13549",7330,NA,NA,2545363,694,"Metabolites","Males and females","metabolites__x13549.txt.gz"
"691","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35464.metal.pos.txt.gz.tab","X-13671",7311,NA,NA,2545483,701,"Metabolites","Males and females","metabolites__x13671.txt.gz"
"725","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36754.metal.pos.txt.gz.tab","Octadecanedioate",7300,NA,NA,2545925,735,"Metabolites","Males and females","metabolites__octadecanedioate.txt.gz"
"351","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M03127.metal.pos.txt.gz.tab","Hypoxanthine",7287,NA,NA,2545756,361,"Metabolites","Males and females","metabolites__hypoxanthine.txt.gz"
"358","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M12129.metal.pos.txt.gz.tab","Beta-hydroxyisovalerate",7283,NA,NA,2545179,368,"Metabolites","Males and females","metabolites__betahydroxyisovalerate.txt.gz"
"510","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32787.metal.pos.txt.gz.tab","X-11470",7271,NA,NA,2545203,520,"Metabolites","Males and females","metabolites__x11470.txt.gz"
"442","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M27722.metal.pos.txt.gz.tab","Erythrose",7263,NA,NA,2545059,452,"Metabolites","Males and females","metabolites__erythrose.txt.gz"
"705","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35977.metal.pos.txt.gz.tab","X-14056",7259,NA,NA,2545667,715,"Metabolites","Males and females","metabolites__x14056.txt.gz"
"444","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M30805.metal.pos.txt.gz.tab","X-10810",7232,NA,NA,2545052,454,"Metabolites","Males and females","metabolites__x10810.txt.gz"
"560","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33415.metal.pos.txt.gz.tab","X-12063",7197,NA,NA,2545798,570,"Metabolites","Males and females","metabolites__x12063.txt.gz"
"517","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32838.metal.pos.txt.gz.tab","X-11521",7193,NA,NA,2545110,527,"Metabolites","Males and females","metabolites__x11521.txt.gz"
"643","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34409.metal.pos.txt.gz.tab","Stearoylcarnitine",7183,NA,NA,2546184,653,"Metabolites","Males and females","metabolites__stearoylcarnitine.txt.gz"
"640","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34359.metal.pos.txt.gz.tab","X-12749",7178,NA,NA,2545560,650,"Metabolites","Males and females","metabolites__x12749.txt.gz"
"382","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M16821.metal.pos.txt.gz.tab","X-04498",7160,NA,NA,2545878,392,"Metabolites","Males and females","metabolites__x04498.txt.gz"
"377","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M15990.metal.pos.txt.gz.tab","Glycerophosphorylcholine (GPC)",7156,NA,NA,2545468,387,"Metabolites","Males and females","metabolites__glycerophosphorylcholine_gpc.txt.gz"
