Name,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,P-value (Current vs. Never),FDR (Current vs. Never),Dose Response
cg01904393,II,12,"51,815,083",F,,-4.3E-06,7.9E-07,-5.50,3.8E-08,4.3E-07,0.00056495,2.0E-02,1
cg00252529,II,4,"148,730,174",F,ARHGAP10,-1.9E-06,1.9E-06,-0.96,0.3353,0.3863,0.000565184,2.0E-02,0
cg16263152,II,1,"183,287,819",F,NMNAT2,-1.4E-05,2.2E-06,-6.27,3.6E-10,6.8E-09,0.00056555,2.0E-02,1
cg02024925,I,13,"52,773,871",R,,1.4E-05,3.8E-06,3.74,1.8E-04,6.9E-04,0.000565802,2.0E-02,1
cg02794695,II,8,"134,072,611",F,SLA;TG,9.2E-07,4.6E-07,1.98,0.0482,0.0745,0.000565813,2.0E-02,0
cg18824585,II,8,"114,445,084",R,CSMD3,-2.2E-06,1.3E-06,-1.68,0.0932,0.1297,0.000565814,2.0E-02,0
cg17346145,II,17,"77,755,547",F,CBX2,-1.0E-06,1.3E-06,-0.78,0.4336,0.4828,0.000566141,2.0E-02,0
cg04226002,II,11,"113,953,462",R,ZBTB16,-2.7E-06,1.4E-06,-1.95,0.0511,0.0781,0.000566507,2.0E-02,0
cg24470206,II,6,"33,165,598",R,RXRB,-2.6E-06,1.4E-06,-1.91,0.0562,0.0846,0.000566776,2.0E-02,0
cg21841239,II,1,"86,622,737",R,COL24A1,-3.7E-06,1.7E-06,-2.19,0.0288,0.0483,0.000567801,2.0E-02,1
cg12748000,I,12,"6,299,601",R,,1.9E-06,1.6E-06,1.17,0.2400,0.2900,0.000567849,2.0E-02,0
cg25748958,II,2,"43,672,652",F,THADA,9.8E-06,2.5E-06,3.96,7.5E-05,3.3E-04,0.000568018,2.0E-02,1
cg17344906,I,19,"13,202,507",R,NFIX,-1.5E-05,3.3E-06,-4.62,3.8E-06,2.5E-05,0.000568063,2.0E-02,1
cg08381046,II,5,"112,294,315",F,,-3.2E-06,1.8E-06,-1.81,0.0700,0.1016,0.00056834,2.0E-02,0
cg01546820,II,6,"35,453,638",F,TEAD3,-4.8E-06,1.5E-06,-3.24,0.0012,0.0034,0.000569012,2.0E-02,1
cg01973483,II,12,"123,591,123",F,PITPNM2,6.3E-06,1.7E-06,3.67,2.4E-04,8.7E-04,0.000569209,2.0E-02,1
cg20663831,II,7,"150,383,154",F,GIMAP2,7.4E-07,7.0E-07,1.06,0.2881,0.3387,0.00056956,2.0E-02,0
cg08456754,II,19,"10,226,701",F,EIF3G,5.3E-06,2.0E-06,2.73,0.0064,0.0138,0.000569606,2.0E-02,1
cg13062406,I,11,"18,813,544",F,PTPN5,2.4E-07,1.1E-06,0.22,0.8268,0.8489,0.000569645,2.0E-02,0
cg25723459,II,11,"126,245,829",R,ST3GAL4,-6.7E-06,2.2E-06,-3.06,0.0022,0.0057,0.000569736,2.0E-02,1
cg17651972,II,12,"57,620,054",F,NXPH4,3.3E-06,1.7E-06,1.99,0.0462,0.0720,0.000569898,2.0E-02,0
cg18919106,II,8,"132,918,665",F,EFR3A,3.0E-06,1.6E-06,1.91,0.0566,0.0851,0.000569905,2.0E-02,0
cg09703727,II,7,"69,447,465",F,AUTS2,-1.6E-06,3.1E-06,-0.52,0.6048,0.6466,0.000570155,2.0E-02,0
cg18193916,II,8,"141,369,053",F,TRAPPC9,-5.9E-07,9.3E-07,-0.64,0.5240,0.5701,0.000570194,2.0E-02,0
cg01405107,II,17,"46,671,635",R,LOC404266;HOXB5,-1.5E-05,3.8E-06,-3.84,1.2E-04,4.9E-04,0.000570436,2.0E-02,1
cg06567635,II,5,"72,526,726",F,,-5.4E-06,2.3E-06,-2.41,0.0159,0.0295,0.000570478,2.0E-02,1
cg14082061,II,10,"4,125,518",F,,1.2E-06,1.4E-06,0.83,0.4044,0.4546,0.000570625,2.0E-02,0
cg15270654,II,8,"97,170,666",F,GDF6,2.4E-06,1.0E-06,2.35,0.0189,0.0340,0.000570665,2.0E-02,1
cg18560936,I,7,"1,632,620",F,,-1.5E-06,2.8E-06,-0.53,0.5990,0.6410,0.000570721,2.0E-02,0
cg11012061,II,5,"145,722,468",R,,8.4E-08,1.5E-06,0.06,0.9546,0.9606,0.000570802,2.0E-02,0
cg07388493,II,1,"39,491,459",R,NDUFS5,6.0E-06,2.9E-06,2.06,0.0393,0.0628,0.000570874,2.0E-02,0
cg17465336,II,1,"26,696,865",R,ZNF683,1.4E-06,1.4E-06,0.95,0.3401,0.3910,0.000570935,2.0E-02,0
cg26217402,I,14,"74,238,381",F,C14orf43,-2.5E-06,1.4E-06,-1.77,0.0760,0.1090,0.000571029,2.0E-02,0
cg10383019,I,11,"8,103,101",R,TUB,7.6E-06,2.2E-06,3.40,6.6E-04,0.0020,0.000571092,2.0E-02,1
cg10109215,II,20,"30,605,810",F,C20orf160,2.7E-06,2.5E-06,1.07,0.2862,0.3368,0.000571237,2.0E-02,0
cg06772580,II,17,"27,899,576",F,TP53I13,-1.1E-05,4.3E-06,-2.45,0.0144,0.0271,0.000571556,2.0E-02,1
cg03458229,II,16,"31,286,562",R,ITGAM,-9.9E-07,1.2E-06,-0.82,0.4133,0.4633,0.000571556,2.0E-02,0
cg26769927,I,16,"29,674,972",F,SPN,2.9E-07,9.9E-07,0.30,0.7649,0.7934,0.00057157,2.0E-02,0
cg17146738,I,7,"98,739,698",F,SMURF1,-2.7E-06,1.8E-06,-1.51,0.1301,0.1721,0.000571761,2.0E-02,0
cg24168221,II,20,"23,587,099",R,CST9,-8.9E-06,2.9E-06,-3.04,0.0023,0.0059,0.000572147,2.0E-02,1
cg02952816,I,17,"80,372,912",F,C17orf101,-5.5E-06,2.4E-06,-2.29,0.0219,0.0384,0.000572242,2.0E-02,1
cg06392169,I,6,"391,936",F,IRF4,-4.5E-06,1.8E-06,-2.52,0.0116,0.0227,0.000572274,2.0E-02,1
cg03589001,II,15,"79,164,714",R,MORF4L1,-6.1E-06,4.0E-06,-1.53,0.1254,0.1669,0.000572404,2.0E-02,0
cg16470760,II,12,"6,898,217",F,CD4,-2.1E-06,1.6E-06,-1.32,0.1868,0.2341,0.000572542,2.0E-02,0
cg26800771,I,2,"241,855,454",R,,1.3E-06,1.1E-06,1.16,0.2449,0.2949,0.000572631,2.0E-02,0
cg21245652,II,2,"95,691,051",F,MAL,-3.6E-06,1.2E-06,-2.91,0.0036,0.0085,0.000572775,2.0E-02,1
cg15558102,II,1,"148,242,521",F,,-2.8E-06,1.2E-06,-2.44,0.0146,0.0273,0.000573221,2.0E-02,1
cg23189951,I,5,"1,595,048",R,SDHAP3,-5.6E-06,2.7E-06,-2.12,0.0342,0.0559,0.000573245,2.0E-02,0
cg04791256,II,9,"126,131,309",F,CRB2,-3.9E-06,1.6E-06,-2.50,0.0124,0.0241,0.000573294,2.0E-02,1
cg07779313,II,2,"192,731,534",F,,-2.8E-06,1.8E-06,-1.57,0.1166,0.1569,0.00057412,2.0E-02,0
cg03530687,II,7,"107,708,470",R,LAMB4,1.1E-06,2.2E-06,0.48,0.6301,0.6705,0.000574509,2.0E-02,0
cg12795731,I,13,"114,287,498",F,TFDP1,6.0E-06,1.4E-06,4.20,2.6E-05,1.3E-04,0.000574783,2.0E-02,1
cg23629998,II,7,"123,672,780",R,TMEM229A,1.7E-06,1.2E-06,1.45,0.1464,0.1901,0.000574863,2.0E-02,0
cg12518146,II,5,"76,115,868",R,F2RL1,3.1E-06,1.2E-06,2.57,0.0100,0.0201,0.000574969,2.0E-02,1
cg16028201,I,1,"62,784,802",R,KANK4,1.0E-06,1.2E-06,0.90,0.3685,0.4187,0.000575043,2.0E-02,0
cg18489146,II,19,"39,759,357",R,IL28A,-3.2E-06,1.8E-06,-1.78,0.0746,0.1071,0.000575328,2.0E-02,0
cg26159832,II,14,"103,822,211",F,,4.6E-06,1.2E-06,3.81,1.4E-04,5.5E-04,0.000575588,2.0E-02,1
cg18377014,II,7,"1,095,595",R,C7orf50,1.7E-06,1.3E-06,1.34,0.1794,0.2260,0.000575672,2.0E-02,0
cg25400253,II,17,"42,466,960",R,ITGA2B,9.5E-07,1.2E-06,0.77,0.4385,0.4879,0.000576298,2.0E-02,0
cg05821186,I,4,"1,198,353",F,LOC100130872;LOC100130872-SPON2,-6.7E-07,1.0E-06,-0.66,0.5124,0.5593,0.000576328,2.0E-02,0
cg17494199,II,13,"106,834,942",F,,2.7E-06,2.7E-06,0.98,0.3281,0.3790,0.000576372,2.0E-02,0
cg07349348,II,8,"142,253,047",R,,2.7E-06,1.2E-06,2.24,0.0251,0.0429,0.00057638,2.0E-02,1
cg21167643,II,1,"223,937,196",F,CAPN2,-1.1E-05,3.1E-06,-3.46,5.5E-04,0.0017,0.000576503,2.0E-02,1
cg13378013,II,10,"62,206,867",F,,3.3E-06,1.2E-06,2.74,0.0061,0.0132,0.000576652,2.0E-02,1
cg16709512,I,5,"101,297,174",R,,-1.7E-07,8.9E-07,-0.19,0.8519,0.8712,0.000576771,2.0E-02,0
cg10027934,II,22,"39,799,092",R,MAP3K7IP1,-1.6E-06,1.4E-06,-1.16,0.2468,0.2968,0.000576894,2.0E-02,0
cg02064237,II,5,"178,323,492",R,ZFP2,2.8E-06,1.2E-06,2.32,0.0202,0.0359,0.000577419,2.0E-02,1
cg14873488,I,14,"39,735,625",F,CTAGE5,3.7E-06,1.6E-06,2.31,0.0210,0.0371,0.00057789,2.0E-02,1
cg25187161,II,1,"29,510,025",R,SFRS4,-6.1E-06,3.3E-06,-1.83,0.0669,0.0978,0.000578073,2.0E-02,0
cg19720302,II,17,"65,990,670",F,C17orf58,-1.0E-05,3.0E-06,-3.46,5.3E-04,0.0017,0.000578747,2.1E-02,1
cg07785717,I,19,"54,485,321",F,CACNG8;MIR935,-3.6E-06,3.1E-06,-1.16,0.2477,0.2976,0.000578802,2.1E-02,0
cg15389749,II,13,"50,702,675",R,,-4.0E-06,1.4E-06,-2.76,0.0058,0.0126,0.000578946,2.1E-02,1
cg01875106,II,11,"132,287,342",R,OPCML,-1.1E-05,2.4E-06,-4.59,4.5E-06,2.9E-05,0.000579061,2.1E-02,1
cg19792027,II,X,"118,922,222",R,SNORA69;RPL39,-5.8E-06,1.3E-06,-4.49,7.0E-06,4.2E-05,0.000579435,2.1E-02,1
cg11182965,II,22,"19,864,308",R,TXNRD2,1.1E-06,3.0E-06,0.38,0.7051,0.7391,0.000579988,2.1E-02,0
cg20348189,II,2,"36,595,352",F,CRIM1,-5.6E-06,1.7E-06,-3.39,7.0E-04,0.0021,0.000580041,2.1E-02,1
cg12527260,II,11,"63,683,744",R,RCOR2,5.6E-06,1.9E-06,3.00,0.0027,0.0067,0.000580198,2.1E-02,1
cg13137809,I,7,"2,768,988",F,GNA12,-5.4E-06,2.3E-06,-2.32,0.0204,0.0363,0.000580447,2.1E-02,1
cg12865888,I,8,"141,220,177",R,TRAPPC9,-2.3E-06,2.0E-06,-1.13,0.2565,0.3064,0.000580705,2.1E-02,0
cg10333594,II,16,"1,705,338",R,CRAMP1L,4.9E-06,1.3E-06,3.72,2.0E-04,7.3E-04,0.000580771,2.1E-02,1
cg19949530,II,21,"33,034,963",F,SOD1,-3.9E-06,1.4E-06,-2.75,0.0060,0.0130,0.000580852,2.1E-02,1
cg04284321,II,1,"68,141,209",F,,-7.7E-06,2.2E-06,-3.46,5.5E-04,0.0017,0.000580941,2.1E-02,1
cg06298346,II,5,"10,565,679",F,ANKRD33B,-7.5E-06,1.4E-06,-5.37,7.9E-08,8.2E-07,0.000580968,2.1E-02,1
cg13576669,II,14,"77,519,601",R,,3.4E-06,2.1E-06,1.58,0.1149,0.1549,0.000581049,2.1E-02,0
cg07109046,II,13,"41,204,388",F,FOXO1,-2.5E-06,2.9E-06,-0.87,0.3818,0.4320,0.00058127,2.1E-02,0
cg10053473,II,17,"62,856,997",F,LRRC37A3,4.4E-06,1.8E-06,2.45,0.0142,0.0269,0.000581478,2.1E-02,1
cg02375208,II,5,"77,804,381",F,LHFPL2,2.3E-06,1.7E-06,1.39,0.1634,0.2087,0.000581509,2.1E-02,0
cg23878906,II,18,"29,304,818",F,,1.3E-05,3.4E-06,3.97,7.3E-05,3.1E-04,0.000581557,2.1E-02,1
cg06495803,II,12,"6,553,489",R,CD27;LOC678655,-1.9E-06,1.8E-06,-1.02,0.3059,0.3567,0.000581619,2.1E-02,0
cg21504624,II,9,"34,653,580",F,IL11RA,1.3E-06,1.2E-06,1.09,0.2762,0.3266,0.00058181,2.1E-02,0
cg01283834,I,4,"141,488,964",R,UCP1,1.7E-06,8.2E-07,2.10,0.0357,0.0579,0.000582184,2.1E-02,0
cg16820616,II,11,"30,605,581",F,MPPED2,-4.7E-06,2.9E-06,-1.60,0.1086,0.1477,0.000582302,2.1E-02,0
cg13617561,II,11,"67,222,073",F,CABP4,-1.3E-06,1.6E-06,-0.82,0.4100,0.4601,0.000582305,2.1E-02,0
cg16260126,II,10,"4,892,269",R,,3.8E-06,2.2E-06,1.72,0.0858,0.1207,0.000582551,2.1E-02,0
cg12847429,II,14,"54,948,899",R,GMFB,1.5E-06,1.5E-06,1.04,0.3002,0.3509,0.000582564,2.1E-02,0
cg06000610,II,7,"157,623,118",R,PTPRN2,1.7E-06,1.2E-06,1.44,0.1511,0.1956,0.000582617,2.1E-02,0
cg04192740,II,5,"171,605,778",R,STK10,9.6E-07,9.4E-07,1.03,0.3052,0.3560,0.000582717,2.1E-02,0
cg14543200,II,14,"61,977,951",F,PRKCH,-2.0E-06,9.3E-07,-2.19,0.0282,0.0473,0.000582722,2.1E-02,1
cg25347526,II,4,"124,778,319",F,LOC285419,-6.4E-06,2.1E-06,-3.02,0.0025,0.0063,0.000582817,2.1E-02,1
cg06017490,II,7,"25,893,245",F,,-5.9E-06,5.6E-06,-1.04,0.2969,0.3476,0.000583048,2.1E-02,0
cg14986464,II,6,"31,669,902",R,BAT5,-3.2E-06,1.5E-06,-2.13,0.0334,0.0547,0.000583096,2.1E-02,0
cg14619064,II,17,"56,355,331",R,MPO,1.2E-06,1.4E-06,0.84,0.4033,0.4535,0.000583269,2.1E-02,0
cg26744362,II,19,"56,168,861",R,U2AF2,-1.1E-05,1.9E-06,-5.72,1.1E-08,1.4E-07,0.000583318,2.1E-02,1
cg24366314,II,13,"88,329,680",R,SLITRK5,-1.3E-05,4.3E-06,-3.10,0.0020,0.0051,0.00058338,2.1E-02,1
cg21385666,I,13,"112,724,270",R,SOX1,-4.0E-06,2.6E-06,-1.53,0.1253,0.1668,0.00058341,2.1E-02,0
cg07859138,II,X,"118,751,995",F,SEPT6,4.2E-06,2.3E-06,1.83,0.0667,0.0975,0.000583502,2.1E-02,0
cg12065228,I,1,"19,652,788",R,PQLC2,2.6E-06,1.9E-06,1.41,0.1584,0.2034,0.000583756,2.1E-02,0
cg01538165,II,8,"71,240,128",R,NCOA2,2.7E-06,1.6E-06,1.69,0.0901,0.1260,0.000584096,2.1E-02,0
cg16332927,I,6,"37,461,350",R,C6orf129,-1.6E-06,1.4E-06,-1.14,0.2551,0.3051,0.000584417,2.1E-02,0
cg24781737,II,11,"66,034,681",F,KLC2;RAB1B,-7.5E-06,1.8E-06,-4.14,3.4E-05,1.7E-04,0.000584451,2.1E-02,1
cg04023663,II,7,"7,031,200",R,,4.0E-06,2.1E-06,1.94,0.0526,0.0800,0.00058476,2.1E-02,0
cg13863153,II,21,"39,628,679",F,KCNJ15,4.8E-06,2.2E-06,2.18,0.0294,0.0491,0.000584805,2.1E-02,1
cg20531872,II,3,"196,440,087",F,PIGX;C3orf34,-7.0E-06,1.3E-06,-5.50,3.7E-08,4.2E-07,0.000585063,2.1E-02,1
cg14074486,II,1,"161,195,356",F,TOMM40L,4.7E-06,2.0E-06,2.35,0.0189,0.0341,0.000585294,2.1E-02,1
cg13630574,II,20,"2,847,327",R,VPS16;PTPRA,2.2E-06,1.4E-06,1.55,0.1210,0.1618,0.000585317,2.1E-02,0
cg12798118,I,17,"15,166,031",F,PMP22,9.4E-07,5.6E-07,1.67,0.0947,0.1314,0.000585381,2.1E-02,0
cg24864241,II,1,"204,329,158",R,PLEKHA6,-1.1E-06,1.5E-06,-0.76,0.4484,0.4977,0.000585397,2.1E-02,0
cg08591668,II,11,"94,150,725",F,MRE11A,4.9E-06,2.7E-06,1.79,0.0727,0.1049,0.000585464,2.1E-02,0
cg08951903,I,10,"44,070,173",R,ZNF239,3.8E-06,1.6E-06,2.34,0.0191,0.0343,0.000585713,2.1E-02,1
cg12596182,II,12,"70,082,885",R,BEST3,-7.9E-06,2.7E-06,-2.99,0.0028,0.0068,0.000586207,2.1E-02,1
cg12662555,I,3,"57,742,520",R,SLMAP,-7.3E-07,4.1E-07,-1.77,0.0763,0.1093,0.000586247,2.1E-02,0
cg00401753,II,5,"405,986",R,AHRR;LOC100310782,5.8E-06,1.2E-06,5.00,5.7E-07,4.7E-06,0.000586286,2.1E-02,1
cg05253716,II,12,"129,299,332",R,SLC15A4;MGC16384,9.1E-07,1.2E-06,0.74,0.4569,0.5055,0.000586286,2.1E-02,0
cg17322683,II,6,"30,038,791",F,RNF39,-1.8E-06,1.8E-06,-1.04,0.2973,0.3480,0.000586322,2.1E-02,0
cg12131419,II,15,"49,353,073",R,,-6.9E-06,3.0E-06,-2.32,0.0202,0.0359,0.000586423,2.1E-02,1
cg07310916,II,2,"232,330,273",R,NCL,-4.6E-06,1.3E-06,-3.62,3.0E-04,0.0010,0.000586579,2.1E-02,1
cg13774825,II,14,"105,263,191",R,AKT1,-6.6E-06,1.5E-06,-4.28,1.8E-05,9.6E-05,0.000586744,2.1E-02,1
cg18268041,II,14,"105,659,225",F,,3.6E-06,3.6E-06,0.99,0.3206,0.3715,0.000586921,2.1E-02,0
cg15107861,II,20,"44,258,271",F,WFDC10A;WFDC9,3.3E-06,9.1E-07,3.62,2.9E-04,0.0010,0.000586933,2.1E-02,1
cg00997990,I,10,"7,138,974",R,,2.4E-06,7.5E-07,3.20,0.0014,0.0037,0.000586942,2.1E-02,1
cg10995381,II,5,"7,877,198",R,MTRR,-5.6E-06,1.6E-06,-3.38,7.3E-04,0.0022,0.000587214,2.1E-02,1
cg02039404,II,2,"70,368,784",F,,-6.9E-06,1.7E-06,-4.04,5.4E-05,2.4E-04,0.000587317,2.1E-02,1
cg13876135,I,1,"211,872,318",F,,-2.9E-06,2.0E-06,-1.42,0.1561,0.2009,0.000587322,2.1E-02,0
cg07362800,I,5,"56,629,471",F,,-9.9E-06,1.8E-06,-5.51,3.5E-08,4.0E-07,0.000587813,2.1E-02,1
cg08768385,II,16,"88,144,601",R,,2.6E-06,2.0E-06,1.35,0.1755,0.2221,0.000587988,2.1E-02,0
cg17916490,I,2,"11,810,173",R,NTSR2,2.4E-06,1.5E-06,1.65,0.0994,0.1370,0.000588326,2.1E-02,0
cg27191184,II,16,"580,239",R,SOLH,1.6E-06,1.7E-06,0.94,0.3495,0.4001,0.000588541,2.1E-02,0
cg26568226,I,15,"22,913,326",F,CYFIP1,8.9E-07,1.2E-06,0.75,0.4519,0.5007,0.000588938,2.1E-02,0
cg15326320,I,2,"172,967,665",F,DLX2,-2.1E-07,2.8E-07,-0.76,0.4484,0.4977,0.000589074,2.1E-02,0
cg14920289,I,14,"23,821,149",F,SLC22A17,-1.1E-05,3.2E-06,-3.36,7.9E-04,0.0024,0.00058919,2.1E-02,1
cg07408552,II,17,"40,611,995",F,ATP6V0A1,9.7E-07,9.9E-07,0.97,0.3299,0.3807,0.00058933,2.1E-02,0
cg17003143,II,14,"103,574,651",R,C14orf73,-1.4E-06,1.1E-06,-1.28,0.2014,0.2499,0.000589331,2.1E-02,0
cg02240252,II,17,"47,931,591",R,,-1.5E-07,1.9E-06,-0.08,0.9374,0.9459,0.00058948,2.1E-02,0
cg11248491,II,7,"6,312,525",F,CYTH3,1.7E-06,6.8E-07,2.48,0.0132,0.0252,0.000589591,2.1E-02,1
cg19898258,II,12,"52,399,891",R,GRASP,-1.6E-07,1.2E-06,-0.14,0.8908,0.9058,0.000589757,2.1E-02,0
cg14415083,II,1,"154,192,352",R,UBAP2L;C1orf43,-2.1E-06,9.9E-07,-2.14,0.0324,0.0534,0.000589923,2.1E-02,0
cg25720697,II,1,"86,046,377",R,CYR61,2.1E-06,8.8E-07,2.34,0.0194,0.0347,0.00058993,2.1E-02,1
cg03653856,I,3,"197,500,859",R,FYTTD1,-1.6E-06,1.1E-06,-1.35,0.1754,0.2220,0.000590161,2.1E-02,0
cg07994987,I,6,"6,007,769",R,NRN1,-3.7E-07,4.5E-07,-0.83,0.4066,0.4566,0.000590186,2.1E-02,0
cg25491558,II,10,"65,472,123",R,,3.4E-06,1.7E-06,2.04,0.0412,0.0652,0.000590217,2.1E-02,0
cg16305345,II,10,"43,725,275",R,RASGEF1A,1.1E-06,1.0E-06,1.06,0.2897,0.3403,0.000590254,2.1E-02,0
cg03054277,I,1,"228,400,217",F,OBSCN,-4.1E-06,4.4E-06,-0.93,0.3511,0.4017,0.000590465,2.1E-02,0
cg08257003,II,6,"84,140,564",R,ME1,-2.5E-06,2.1E-06,-1.17,0.2405,0.2904,0.000591189,2.1E-02,0
cg25898192,II,15,"33,418,895",F,,2.1E-06,1.3E-06,1.63,0.1022,0.1402,0.000591328,2.1E-02,0
cg05896295,II,19,"41,812,492",R,HNRNPUL1,-3.3E-06,1.7E-06,-1.96,0.0498,0.0765,0.000591351,2.1E-02,0
cg06970472,I,4,"40,910,981",R,APBB2,-1.1E-05,1.7E-06,-6.21,5.5E-10,9.8E-09,0.000591545,2.1E-02,1
cg01642521,I,11,"20,618,250",R,,1.9E-06,1.5E-06,1.30,0.1943,0.2422,0.000591657,2.1E-02,0
cg07797660,II,1,"3,239,139",R,PRDM16,-5.0E-06,1.7E-06,-2.95,0.0032,0.0077,0.000591721,2.1E-02,1
cg05251593,II,17,"55,517,831",F,MSI2,-2.8E-06,1.6E-06,-1.73,0.0842,0.1188,0.000591745,2.1E-02,0
cg21379733,II,3,"71,136,296",R,FOXP1,-1.2E-06,1.6E-06,-0.77,0.4384,0.4879,0.000591958,2.1E-02,0
cg18653282,II,14,"104,604,739",R,KIF26A,2.2E-06,1.5E-06,1.47,0.1413,0.1845,0.000592035,2.1E-02,0
cg10280347,II,10,"122,217,069",R,PPAPDC1A,3.7E-07,1.6E-06,0.23,0.8177,0.8410,0.000592898,2.1E-02,0
cg04821942,II,13,"99,629,970",R,DOCK9,-4.1E-06,1.4E-06,-2.97,0.0030,0.0073,0.000592919,2.1E-02,1
cg03497750,II,19,"53,445,884",R,ZNF321,5.4E-06,1.6E-06,3.39,7.0E-04,0.0021,0.000593112,2.1E-02,1
cg05886087,II,2,"102,758,186",F,,5.4E-06,1.8E-06,2.98,0.0029,0.0070,0.000593362,2.1E-02,1
cg00125455,II,20,"44,574,271",R,PCIF1,5.2E-07,2.5E-06,0.21,0.8335,0.8551,0.000593655,2.1E-02,0
cg21544415,II,12,"26,288,686",F,,6.3E-06,2.5E-06,2.54,0.0110,0.0218,0.000593746,2.1E-02,1
cg00061520,II,16,"4,070,371",F,ADCY9,1.2E-05,2.9E-06,4.09,4.2E-05,2.0E-04,0.000594201,2.1E-02,1
cg02550119,II,17,"33,306,727",R,LIG3,-5.3E-06,2.0E-06,-2.65,0.0079,0.0165,0.000594298,2.1E-02,1
cg11305134,II,3,"65,950,683",R,MAGI1,-2.2E-06,1.3E-06,-1.78,0.0752,0.1079,0.000594494,2.1E-02,0
cg18547838,II,10,"63,800,880",R,ARID5B,-4.3E-06,1.5E-06,-2.88,0.0040,0.0092,0.000594643,2.1E-02,1
cg14827807,II,1,"150,943,828",R,LASS2,9.6E-08,1.1E-06,0.09,0.9290,0.9390,0.00059469,2.1E-02,0
cg05099387,I,2,"177,053,292",R,HOXD1,8.1E-07,1.9E-06,0.42,0.6771,0.7132,0.000594713,2.1E-02,0
cg15451250,II,4,"6,955,660",R,TBC1D14,4.1E-06,1.6E-06,2.48,0.0131,0.0251,0.000595006,2.1E-02,1
cg23009780,II,2,"96,774,492",F,,-6.2E-06,2.0E-06,-3.13,0.0017,0.0045,0.000595039,2.1E-02,1
cg05426956,II,10,"124,246,168",F,HTRA1,4.5E-07,1.3E-06,0.34,0.7337,0.7652,0.000595731,2.1E-02,0
cg22243039,II,17,"42,147,465",R,G6PC3,2.2E-06,1.5E-06,1.43,0.1515,0.1960,0.000595745,2.1E-02,0
cg17300750,II,16,"2,288,072",F,DNASE1L2,6.8E-06,2.4E-06,2.85,0.0044,0.0100,0.000595803,2.1E-02,1
cg00243854,II,18,"12,250,818",R,,-2.5E-06,1.5E-06,-1.67,0.0947,0.1314,0.000596073,2.1E-02,0
cg06310157,II,7,"140,218,138",R,,-2.1E-06,1.4E-06,-1.54,0.1247,0.1661,0.000596802,2.1E-02,0
cg01634664,II,14,"91,580,142",F,C14orf159,-6.0E-06,1.8E-06,-3.39,7.0E-04,0.0021,0.000596934,2.1E-02,1
cg22512830,II,13,"108,110,276",R,FAM155A,-4.5E-06,2.5E-06,-1.78,0.0745,0.1070,0.000597071,2.1E-02,0
cg12828018,II,11,"59,437,416",R,PATL1,-1.1E-05,3.4E-06,-3.34,8.4E-04,0.0025,0.000597212,2.1E-02,1
cg01526089,II,17,"3,819,390",F,P2RX1,-1.2E-06,8.9E-07,-1.35,0.1765,0.2230,0.000597243,2.1E-02,0
cg19426413,I,17,"29,302,235",F,DPRXP4;RNF135,5.9E-06,1.9E-06,3.06,0.0022,0.0057,0.00059748,2.1E-02,1
cg01886556,II,4,"17,783,205",F,FAM184B,1.1E-06,1.1E-06,1.06,0.2881,0.3387,0.000597575,2.1E-02,0
cg21727145,II,15,"101,458,127",F,LRRK1,8.2E-06,1.6E-06,5.00,5.7E-07,4.7E-06,0.000597589,2.1E-02,1
cg13121732,II,14,"105,260,250",F,AKT1,-3.1E-06,1.5E-06,-2.03,0.0424,0.0669,0.000598034,2.1E-02,0
cg18197795,II,19,"13,067,554",F,GADD45GIP1,-2.7E-06,7.9E-07,-3.47,5.3E-04,0.0017,0.000598182,2.1E-02,1
cg25087423,II,11,"118,754,535",R,CXCR5,-1.1E-06,1.3E-06,-0.88,0.3780,0.4282,0.000598244,2.1E-02,0
cg07578331,II,16,"15,237,722",F,,-3.4E-06,2.2E-06,-1.54,0.1241,0.1654,0.000598265,2.1E-02,0
cg21653105,II,8,"134,075,028",F,TG;SLA,-1.9E-07,2.2E-06,-0.08,0.9338,0.9430,0.000598844,2.1E-02,0
cg26422151,I,10,"88,136,949",R,,-2.4E-06,2.8E-06,-0.85,0.3945,0.4446,0.000598891,2.1E-02,0
cg07793148,II,1,"9,712,988",R,C1orf200;PIK3CD,-6.6E-06,2.1E-06,-3.18,0.0015,0.0040,0.000599057,2.1E-02,1
cg25213107,I,11,"134,282,864",R,B3GAT1,-7.8E-07,6.3E-07,-1.23,0.2169,0.2662,0.000599276,2.1E-02,0
cg14012059,II,9,"130,222,969",R,LRSAM1,3.3E-06,1.9E-06,1.69,0.0905,0.1265,0.000599618,2.1E-02,0
cg01854499,II,8,"102,054,564",R,,-3.1E-06,1.1E-06,-2.82,0.0048,0.0109,0.000599835,2.1E-02,1
cg02162605,II,2,"242,814,097",R,C2orf85,2.5E-06,1.6E-06,1.61,0.1080,0.1470,0.000599889,2.1E-02,0
cg19818890,II,11,"76,033,391",F,,1.4E-06,7.5E-07,1.81,0.0698,0.1013,0.000599972,2.1E-02,0
cg08959216,I,7,"35,293,309",F,TBX20,-7.3E-06,2.0E-06,-3.60,3.2E-04,0.0011,0.000600131,2.1E-02,1
cg01090930,II,3,"47,891,032",R,DHX30;MIR1226,-5.9E-06,1.6E-06,-3.64,2.8E-04,9.7E-04,0.000600247,2.1E-02,1
